[21:59:36] [INFO] Memory guard started — watching PID 512588, min_avail=1.5 GB, interval=10.0s
[02:30:37] [INFO] RAM: 23.8/30.8 GB used | avail=6.99 GB | swap=4.5 GB
[02:31:37] [INFO] RAM: 23.7/30.8 GB used | avail=7.07 GB | swap=4.5 GB
[02:32:37] [INFO] RAM: 23.9/30.8 GB used | avail=6.89 GB | swap=4.5 GB
[02:33:37] [INFO] RAM: 23.7/30.8 GB used | avail=7.09 GB | swap=4.5 GB
[02:34:37] [INFO] RAM: 23.9/30.8 GB used | avail=6.86 GB | swap=4.5 GB
[02:35:37] [INFO] RAM: 24.0/30.8 GB used | avail=6.80 GB | swap=4.5 GB
[02:36:37] [INFO] RAM: 24.1/30.8 GB used | avail=6.66 GB | swap=4.5 GB
[02:37:37] [INFO] RAM: 23.7/30.8 GB used | avail=7.12 GB | swap=4.5 GB
[02:38:37] [INFO] RAM: 24.3/30.8 GB used | avail=6.46 GB | swap=4.5 GB
[02:39:37] [INFO] RAM: 24.4/30.8 GB used | avail=6.37 GB | swap=4.5 GB
